编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
24-A-0,汽车零部件和专用车基地建在长春的主要原因是	地处沿海,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海,NN NN CC NN NN VV NR DEG JJ NN VC VV NN,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 地处 沿海,NN NN CC NN NN VV NR DEG JJ NN VC VV NN,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 地处) (NP (NN 沿海))))))) )
24-A-1,汽车零部件和专用车基地建在长春的主要原因是	水陆交通便利,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 水陆 交通 便利,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 水陆 交通 便利,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 水陆 交通 便利,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 水陆 交通 便利,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN,( (IP (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (NN 水陆)))))) (NP (NN 交通)) (VP (VA 便利))) )
24-B,汽车零部件和专用车基地建在长春的主要原因是	矿产资源丰富，原料充足,y,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富 ， 原料 充足,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富 ， 原料 充足,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VA PU NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富 ， 原料 充足,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富 ， 原料 充足,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VA PU NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 矿产) (NN 资源)) (VP (VA 丰富))) (PU ，) (IP (NP (NN 原料)) (VP (VA 充足)))))))) )
24-B-0,汽车零部件和专用车基地建在长春的主要原因是	矿产资源丰富,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 矿产 资源 丰富,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 矿产) (NN 资源)) (VP (VA 丰富))))))) )
24-B-1,汽车零部件和专用车基地建在长春的主要原因是	原料充足,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 原料 充足,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 原料 充足,NN NN CC NN NN VV NR DEG JJ NN VC NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 原料 充足,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 原料 充足,NN NN CC NN NN VV NR DEG JJ NN VC NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (IP (VP (VP (VC 是) (NP (NN 原料))) (VP (VA 充足)))))) )
24-C,汽车零部件和专用车基地建在长春的主要原因是	汽车工业起步早，基础好,y,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早 ， 基础 好,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早 ， 基础 好,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN VA PU NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早 ， 基础 好,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早 ， 基础 好,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN AD PU NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NP (NN 汽车) (NN 工业)) (NP (NN 起步))) (VP (VA 早))) (PU ，) (IP (NP (NN 基础)) (VP (VA 好)))))))) )
24-C-0,汽车零部件和专用车基地建在长春的主要原因是	汽车工业起步早,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 起步 早,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN AD,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 汽车) (NN 工业)) (NP (NN 起步)) (VP (VA 早))))))) )
24-C-1,汽车零部件和专用车基地建在长春的主要原因是	汽车工业基础好,ed-mod,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 基础 好,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 基础 好,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 基础 好,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 汽车 工业 基础 好,NN NN CC NN NN VV NR DEG JJ NN VC NN NN NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 汽车) (NN 工业) (NN 基础)) (VP (VA 好))))))) )
24-D,汽车零部件和专用车基地建在长春的主要原因是	科研院所集中，技术先进,y,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中 ， 技术 先进,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中 ， 技术 先进,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VV PU NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中 ， 技术 先进,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中 ， 技术 先进,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VV PU NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 科研) (NN 院所)) (VP (VV 集中))) (PU ，) (IP (NP (NN 技术)) (VP (VA 先进)))))))) )
24-D-0,汽车零部件和专用车基地建在长春的主要原因是	科研院所集中,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VV,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 科研 院所 集中,NN NN CC NN NN VV NR DEG JJ NN VC NN NN VV,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 科研) (NN 院所)) (VP (VV 集中))))))) )
24-D-1,汽车零部件和专用车基地建在长春的主要原因是	技术先进,ed-ori,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 技术 先进,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 技术 先进,NN NN CC NN NN VV NR DEG JJ NN VC NN VA,,,,,,,,,,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 技术 先进,汽车 零部件 和 专用车 基地 建在 长春 的 主要 原因 是 技术 先进,NN NN CC NN NN VV NR DEG JJ NN VC NN VA,( (IP (NP (NP (NN 汽车) (NN 零部件)) (CC 和) (NP (NN 专用车) (NN 基地))) (VP (VV 建在) (IP (NP (DNP (NP (NR 长春)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 技术)) (VP (VA 先进))))))) )
25-①,各类产业园区的建立，反映出产业发展的	集聚现象,None,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 集聚 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 集聚 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN NN,,,,,,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 集聚 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 集聚 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN NN,( (IP (NP (DNP (NP (DP (DT 各) (CLP (M 类))) (NP (NN 产业) (NN 园区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (VRD (VV 反映) (VV 出)) (NP (DNP (NP (NN 产业) (NN 发展)) (DEG 的)) (NP (NN 集聚) (NN 现象))))) )
25-②,各类产业园区的建立，反映出产业发展的	分散现象,None,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 分散 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 分散 现象,DT M NN NN DEG NN PU VV VV NN NN DEG VV NN,,,,,,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 分散 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 分散 现象,DT M NN NN DEG NN PU VV VV NN NN DEG VV NN,( (IP (NP (DNP (NP (DP (DT 各) (CLP (M 类))) (NP (NN 产业) (NN 园区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (VRD (VV 反映) (VV 出)) (NP (DNP (NP (NN 产业) (NN 发展)) (DEG 的)) (CP (IP (VV 分散))) (NP (NN 现象))))) )
25-③,各类产业园区的建立，反映出产业发展的	产业升级现象,None,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 升级 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 升级 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN VV NN,,,,,,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 升级 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 升级 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN VV NN,( (IP (NP (DNP (NP (DP (DT 各) (CLP (M 类))) (NP (NN 产业) (NN 园区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (VRD (VV 反映) (VV 出)) (NP (CP (IP (NP (DNP (NP (NN 产业) (NN 发展)) (DEG 的)) (NP (NN 产业))) (VP (VV 升级)))) (NP (NN 现象))))) )
25-④,各类产业园区的建立，反映出产业发展的	产业转移现象,None,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 转移 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 转移 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN VV NN,,,,,,,,,,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 转移 现象,各 类 产业 园区 的 建立 ， 反映 出 产业 发展 的 产业 转移 现象,DT M NN NN DEG NN PU VV VV NN NN DEG NN VV NN,( (IP (NP (DNP (NP (DP (DT 各) (CLP (M 类))) (NP (NN 产业) (NN 园区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (VRD (VV 反映) (VV 出)) (NP (CP (IP (NP (DNP (NP (NN 产业) (NN 发展)) (DEG 的)) (NP (NN 产业))) (VP (VV 转移)))) (NP (NN 现象))))) )
26-A,长春经济技术开发区的建立，对长春市发展的影响是	人口增长过快,None,,0 8,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 人口 增长 过 快,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 人口 增长 过 快,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN VV AS VA,,,,,,,,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 人口 增长 过 快,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 人口 增长 过 快,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN VV AS VA,( (IP (NP (DNP (NP (NP (NR 长春)) (NP (NN 经济) (NN 技术) (NN 开发区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (PP (P 对) (NP (DNP (NP (NP (NR 长春市)) (NP (NN 发展))) (DEG 的)) (NP (NN 影响)))) (VP (VC 是) (VP (IP (NP (NN 人口)) (VP (VV 增长) (AS 过))) (VP (VA 快)))))) )
26-B,长春经济技术开发区的建立，对长春市发展的影响是	产业结构比较单一,None,,0 8,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 产业 结构 比较 单一,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 产业 结构 比较 单一,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN NN AD VA,,,,,,,,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 产业 结构 比较 单一,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 产业 结构 比较 单一,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN NN AD VA,( (IP (NP (DNP (NP (NR 长春) (NN 经济) (NN 技术) (NN 开发区)) (DEG 的)) (NP (NN 建立))) (PU ，) (NP (DNP (PP (P 对) (NP (NP (NR 长春市)) (NP (NN 发展)))) (DEG 的)) (NP (NN 影响))) (VP (VC 是) (IP (NP (NN 产业) (NN 结构)) (VP (ADVP (AD 比较)) (VP (VA 单一)))))) )
26-C,长春经济技术开发区的建立，对长春市发展的影响是	就业压力增加,None,,0 8,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 就业 压力 增加,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 就业 压力 增加,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN NN VV,,,,,,,,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 就业 压力 增加,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 就业 压力 增加,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN NN VV,( (IP (NP (DNP (NP (NP (NR 长春)) (NP (NN 经济) (NN 技术) (NN 开发区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (PP (P 对) (NP (DNP (NP (NP (NR 长春市)) (NP (NN 发展))) (DEG 的)) (NP (NN 影响)))) (VP (VC 是) (IP (NP (NN 就业) (NN 压力)) (VV 增加))))) )
26-D,长春经济技术开发区的建立，对长春市发展的影响是	工业化推动城市化,None,,0 8,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 工业化 推动 城市化,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 工业化 推动 城市化,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN VV NN,,,,,,,,,,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 工业化 推动 城市化,长春 经济 技术 开发区 的 建立 ， 对 长春市 发展 的 影响 是 工业化 推动 城市化,loc NN NN NN DEG NN PU P loc NN DEG NN VC NN VV NN,( (IP (NP (DNP (NP (NP (NR 长春)) (NP (NN 经济) (NN 技术) (NN 开发区))) (DEG 的)) (NP (NN 建立))) (PU ，) (VP (PP (P 对) (NP (DNP (NP (NP (NR 长春市)) (NP (NN 发展))) (DEG 的)) (NP (NN 影响)))) (VP (VC 是) (NP (CP (IP (NP (NN 工业化)) (VP (VV 推动)))) (NP (NN 城市化)))))) )
27-A,蓉欧快速铁路	途经的地区自然带比较单一,None,,0,4,,蓉欧快速铁路 途经 的 地区 自然带 比较 单一,蓉欧 快速 铁路 途经 的 地区 自然带 比较 单一,loc VV DEC NN term AD VA,,,,,,,,,,蓉欧 快速 铁路 途经 的 地区 自然带 比较 单一,蓉欧 快速 铁路 途经 的 地区 自然带 比较 单一,loc VV DEC NN term AD VA,( (IP (NP (CP (IP (NP (NR 蓉欧快速铁路)) (VP (VV 途经))) (DEC 的)) (NP (NN 地区) (NN 自然带))) (VP (ADVP (AD 比较)) (VP (VA 单一)))) )
27-B,蓉欧快速铁路	欧洲段地势起伏大,None,,0 1,,,蓉欧快速铁路 欧洲 段 地势 起伏 大,蓉欧 快速 铁路 欧洲 段 地势 起伏 大,loc loc NN NN NN VA,,,,,,,,,3,蓉欧 快速 铁路 欧洲 段 地势 起伏 大,蓉欧 快速 铁路 欧洲 段 地势 起伏 大,loc loc NN NN VV JJ,( (IP (NP (NP (NR 蓉欧快速铁路)) (NP (NP (NR 欧洲)) (NP (NN 段))) (NP (NN 地势))) (NP (NN 起伏)) (VP (VA 大))) )
27-C,蓉欧快速铁路	比传统线路全年运行时间长,None,,0,,,蓉欧快速铁路 比 传统 线路 全年 运行 时间 长,蓉欧 快速 铁路 比 传统 线路 全年 运行 时间 长,loc P JJ NN AD VV NN VA,,,,,,,,,,蓉欧 快速 铁路 比 传统 线路 全年 运行 时间 长,蓉欧 快速 铁路 比 传统 线路 全年 运行 时间 长,loc P JJ NN AD VV NN VA,( (IP (IP (NP (NR 蓉欧快速铁路)) (VP (PP (P 比) (NP (ADJP (JJ 传统)) (NP (NN 线路)))) (ADVP (AD 全年)) (VP (VV 运行)))) (NP (NN 时间)) (VP (VA 长))) )
27-D,蓉欧快速铁路	比海运线路运速快、运价低,None,,0,,,蓉欧快速铁路 比 海运 线路 运速 快 、 运价 低,蓉欧 快速 铁路 比 海运 线路 运速 快 、 运价 低,loc P NN NN NN VA PU NN VA,,,,,,,,,,蓉欧 快速 铁路 比 海运 线路 运速快 、 运价 低,蓉欧 快速 铁路 比 海运 线路 运速快 、 运价 低,loc P NN NN NN PU NN VA,( (IP (IP (NP (NR 蓉欧快速铁路)) (VP (PP (P 比) (NP (NP (NN 海运) (NN 线路)) (NP (NN 运速)))) (VP (VA 快)))) (PU 、) (IP (NP (NN 运价)) (VP (VA 低)))) )
28-①,蓉欧快速铁路的建成通车产生的影响有	增强中、欧经济与文化交流,None,,0 9 11,,,蓉欧快速铁路 的 建成 通车 产生 的 影响 有 增强 中 、 欧 经济 与 文化 交流,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 中 、 欧 经济 与 文化 交流,loc DEG NN NN VV DEC NN VE VV loc PU loc NN CC NN NN,,,,,,,,,,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 中 、 欧 经济 与 文化 交流,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 中 、 欧 经济 与 文化 交流,NR DEG NN VV VV DEC NN VE VV NR PU NR NN CC NN NN,( (IP (NP (CP (IP (NP (DNP (NP (NR 蓉欧快速铁路)) (DEG 的)) (NP (NN 建成) (NN 通车))) (VP (VV 产生))) (DEC 的)) (NP (NN 影响))) (VP (VE 有) (NP (CP (IP (VP (VV 增强) (NP (NR 中) (PU 、) (NR 欧))))) (NP (NN 经济) (CC 与) (NN 文化) (NN 交流))))) )
28-②,蓉欧快速铁路的建成通车产生的影响有	提升成渝地区市场竞争力,None,,0 9,,,蓉欧快速铁路 的 建成 通车 产生 的 影响 有 提升 成渝地区 市场 竞争力,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提升 成渝 地区 市场 竞争力,loc DEG NN NN VV DEC NN VE VV loc NN NN,,,,,,,,,,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提升 成渝 地区 市场 竞争 力,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提升 成渝 地区 市场 竞争 力,loc DEG NN VV VV DEC NN VE NN loc NN NN NN,( (IP (NP (CP (IP (NP (DNP (NP (NR 蓉欧快速铁路)) (DEG 的)) (NP (NN 建成) (NN 通车))) (VP (VV 产生))) (DEC 的)) (NP (NN 影响))) (VP (VE 有) (NP (CP (IP (VP (VV 提升) (NP (NP (NR 成渝地区)) (NP (NN 市场)))))) (NP (NN 竞争力))))) )
28-③,蓉欧快速铁路的建成通车产生的影响有	增强我国西部地区对港口的依赖性,None,,0 10,,,蓉欧快速铁路 的 建成 通车 产生 的 影响 有 增强 我国 西部地区 对 港口 的 依赖性,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 我国 西部 地区 对 港口 的 依赖性,loc DEG NN NN VV DEC NN VE VV NR loc P NN DEG NN,,,,,,,,,12,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 我国 西部 地区 对 港口 的 依赖性,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 增强 我国 西部 地区 对 港口 的 依赖性,loc DEG NN VV VV DEC NN VE VV NR loc P NN DEG NN,( (IP (NP (CP (IP (NP (DNP (NP (NR 蓉欧快速铁路)) (DEG 的)) (NP (NN 建成) (NN 通车))) (VP (VV 产生))) (DEC 的)) (NP (NN 影响))) (VP (VP (VE 有)) (VP (VV 增强) (NP (NP (NR 我国) (NR 西部地区)) (DNP (PP (P 对) (NP (NN 港口))) (DEG 的)) (NP (NN 依赖性)))))) )
28-④,蓉欧快速铁路的建成通车产生的影响有	提高成都平原粮食的出口量,None,,0 9,,,蓉欧快速铁路 的 建成 通车 产生 的 影响 有 提高 成都平原 粮食 的 出口量,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提高 成都 平原 粮食 的 出口量,loc DEG NN NN VV DEC NN VE VV loc NN DEG NN,,,,,,,,,11 12,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提高 成都 平原 粮食 的 出口量,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 提高 成都 平原 粮食 的 出口量,loc DEG NN VV VV DEC NN VE NN loc NN DEG NN,( (IP (NP (CP (IP (NP (DNP (NP (NR 蓉欧快速铁路)) (DEG 的)) (NP (NN 建成) (NN 通车))) (VP (VV 产生))) (DEC 的)) (NP (NN 影响))) (VP (VE 有) (NP (DNP (NP (CP (IP (VP (VV 提高) (NP (NR 成都平原))))) (NP (NN 粮食))) (DEG 的)) (NP (NN 出口量))))) )
